% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,OTH,66,5701,5701,0,31,31,normal
tcp,OTH,66,3261,3261,0,47,47,normal
tcp,OTH,66,3948,3948,0,68,68,normal
tcp,OTH,66,5147,5147,0,49,49,normal
tcp,SF,946,2139,2139,0,100,100,normal
tcp,SF,880,2043,2043,0,100,100,normal
tcp,SF,946,1950,1950,0,99,99,normal
tcp,SF,946,1953,1953,0,100,100,normal
tcp,SF,946,2249,2249,0,100,100,normal
tcp,SF,946,2003,2003,0,100,100,normal
tcp,OTH,66,5943,5943,0,52,52,normal
tcp,OTH,66,3758,3758,0,40,40,normal
tcp,S3,286,1757,1757,0,100,100,normal
tcp,OTH,66,2956,2956,0,42,42,normal
tcp,OTH,66,6323,6323,0,51,51,normal
tcp,OTH,66,5023,5023,0,46,46,normal
tcp,S2,352,2883,2883,0,100,100,normal
tcp,SF,946,1248,1248,0,100,100,normal
tcp,SF,946,3356,3356,0,100,100,normal
tcp,OTH,66,2477,2477,0,52,52,normal
tcp,SF,1024,2784,2784,0,89,89,normal
tcp,OTH,66,4441,4441,0,49,49,normal
tcp,OTH,66,2520,2520,0,48,48,normal
