@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,2077,0,100,normal
tcp,SF,2223,0,100,normal
tcp,OTH,3248,0,44,normal
tcp,OTH,3355,0,52,normal
tcp,SF,3259,0,92,normal
tcp,OTH,3574,0,67,normal
tcp,SF,1929,0,59,normal
tcp,OTH,3118,0,30,normal
tcp,SF,1883,0,99,normal
tcp,SF,3937,0,42,normal
tcp,OTH,3019,0,39,normal
tcp,S2,2184,0,100,normal
tcp,SF,1922,0,100,normal
tcp,OTH,4102,0,62,normal
tcp,SF,2642,0,100,normal
tcp,OTH,5039,0,47,normal
tcp,OTH,4673,0,53,normal
tcp,SF,591,0,100,normal
tcp,SF,3097,0,100,normal
tcp,SF,2325,0,58,normal
tcp,S3,3123,0,100,normal
tcp,OTH,4980,0,38,normal
tcp,OTH,2113,0,51,normal
tcp,OTH,3064,0,83,normal
tcp,OTH,5636,0,40,normal
tcp,SF,2229,0,100,normal
tcp,SF,2191,0,98,normal
tcp,OTH,2917,0,47,normal
tcp,SF,2520,0,100,normal
tcp,SF,2541,0,100,normal
tcp,OTH,4943,0,43,normal
tcp,OTH,2918,0,48,normal
tcp,SF,2091,0,100,normal
tcp,OTH,4182,0,45,normal
tcp,SF,2259,0,100,normal
tcp,SF,2614,0,100,normal
tcp,OTH,4497,0,47,normal
tcp,SF,3168,0,100,normal
tcp,SF,2435,0,86,normal
tcp,SF,2706,0,89,normal
tcp,OTH,2824,0,50,normal
tcp,SF,636,0,100,normal
tcp,S1,2688,0,100,normal
tcp,OTH,3160,0,47,normal
tcp,OTH,5842,0,50,normal
tcp,SF,3181,0,100,normal
tcp,OTH,2962,0,46,normal
tcp,SF,2569,0,100,normal
tcp,SF,2003,0,100,normal
tcp,OTH,3337,0,74,normal
tcp,SF,3051,0,98,normal
tcp,OTH,2831,0,68,normal
tcp,OTH,2529,0,44,normal
tcp,SF,4042,0,100,normal
tcp,SF,3084,0,90,normal
tcp,OTH,3402,0,51,normal
tcp,SF,2353,0,88,normal
tcp,SF,3452,0,65,normal
tcp,OTH,5952,0,50,normal
tcp,SF,2246,0,100,normal
tcp,SF,3876,0,100,normal
tcp,SF,1344,0,100,normal
tcp,SF,2549,0,100,normal
tcp,SF,1932,0,100,normal
tcp,SF,3944,0,100,normal
tcp,SF,2182,0,98,normal
tcp,OTH,3272,0,49,normal
tcp,OTH,4674,0,53,normal
tcp,OTH,5914,0,44,normal
tcp,OTH,3498,0,51,normal
tcp,SF,566,0,97,normal
tcp,SF,2435,0,98,normal
tcp,OTH,5678,0,21,normal
tcp,OTH,2884,0,42,normal
tcp,SF,3338,0,91,normal
